id,adult,backdrop_path,genre_ids,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
2322,False,/k2JurWdgatW2H2sopCkASVss28k.jpg,"[35, 80, 18]",en,Sneakers,"When shadowy U.S. intelligence agents blackmail a reformed computer hacker and his eccentric team of security experts into stealing a code-breaking 'black box' from a Soviet-funded genius, they uncover a bigger conspiracy. Now, he and his 'sneakers' must save themselves and the world economy by retrieving the box from their blackmailers.",77.5510025024414,/l2pIGwCvpZEpBuMb55YBl6A04Jv.jpg,1992-09-09,Sneakers,False,6.900000095367432,856
50619,False,/yLpMWckfrzRiNZxB2tgBa5TkUKh.jpg,"[12, 14, 10749]",en,The Twilight Saga: Breaking Dawn - Part 1,The new found married bliss of Bella Swan and vampire Edward Cullen is cut short when a series of betrayals and misfortunes threatens to destroy their world.,92.4739990234375,/qs8LsHKYlVRmJbFUiSUhhRAygwj.jpg,2011-11-16,The Twilight Saga: Breaking Dawn - Part 1,False,6.199999809265137,8494
882598,False,/mVNPfpydornVe4H4UCIk7WevWjf.jpg,"[27, 9648, 53]",en,Smile,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain.",89.33799743652344,/aPqcQwu4VGEewPhagWNncDbJ9Xp.jpg,2022-09-23,Smile,False,6.673999786376953,2715
12405,False,/n8oWIJHQKnY7SPomsZYqM6uEU5i.jpg,"[18, 10749]",en,Slumdog Millionaire,"A teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",66.92400360107422,/5leCCi7ZF0CawAfM5Qo2ECKPprc.jpg,2008-11-12,Slumdog Millionaire,False,7.729000091552734,10251
796499,False,/bo4evsmoKb16AD1OhHgVOlgJtBw.jpg,"[28, 53, 80, 35]",en,Army of Thieves,A mysterious woman recruits bank teller Ludwig Dieter to lead a group of aspiring thieves on a top-secret heist during the early stages of the zombie apocalypse.,58.49100112915039,/iPTZGFmPs7HsXHYxiuxGolihjOH.jpg,2021-10-29,Army of Thieves,False,6.84499979019165,1889
10483,False,/5mbFEJStH59cNFcF7VkRgsSxMqK.jpg,"[28, 53, 878]",en,Death Race,"Terminal Island, New York: 2020. Overcrowding in the US penal system has reached a breaking point. Prisons have been turned over to a monolithic Weyland Corporation, which sees jails full of thugs as an opportunity for televised sport. Adrenalized inmates, a global audience hungry for violence and a spectacular, enclosed arena come together to form the 'Death Race', the biggest, most brutal event.",74.98999786376953,/5A79GeOb3uChQ0l0ZDjDyODKQp3.jpg,2008-08-22,Death Race,False,6.252999782562256,3598
51620,False,/5viGnT4PiwF1BTh5ZwOW5VON7Ss.jpg,"[28, 53, 878]",en,Death Race 2,"In the world's most dangerous prison, a new game is born: Death Race. The rules of this adrenaline-fueled blood sport are simple, drive or die. When repentant convict Carl Lucas discovers there's a price on his head, his only hope is to survive a twisted race against an army of hardened criminals and tricked-out cars.",49.58300018310547,/80mBFNVvak2bA9TJN1MD0yM7Lfi.jpg,2010-11-12,Death Race 2,False,5.818999767303467,1044
59940,False,/oJqXClbe4ttTGohmbgO8n8UVVeV.jpg,[53],en,Zebra Lounge,"Alan and Wendy Barnet have been married just long enough for the excitement to have gone out of their relationship, and they're looking for a way to put some spice back in their lives. After placing a personal ad looking for another couple interested in swapping mates, the Barnets are led to the Zebra Lounge, where they meet Jack and Louise Bauer, a pair of seasoned erotic adventurers. While the Barnets find the swinging scene exciting at first, they soon decide it may be doing more harm than good to their marriage. But easing the Bauers out of their lives proves to be neither simple nor safe.",38.99100112915039,/hyej1bAJkY39O1tVIYdjLM6nfl6.jpg,2001-10-04,Zebra Lounge,False,4.400000095367432,34
43947,False,/2hHkKgw9DW0pX0NLO4l8ds41p5M.jpg,"[53, 80, 27]",en,I Spit on Your Grave,"A beautiful woman from the city, Jennifer Hills, rents an isolated cabin in the country to write her latest novel. Soon, a group of local lowlifes subject her to a nightmare of degradation, rape, and violence.",43.369998931884766,/4VZ9eqel8Fsp54KMnesr3xIc67N.jpg,2010-06-17,I Spit on Your Grave,False,6.5,2159
14411,False,/1Q1tAM49hoT3Hsj2kpx8O34kG01.jpg,"[10751, 16, 12, 35, 14, 28]",en,Sinbad: Legend of the Seven Seas,"The sailor of legend is framed by the goddess Eris for the theft of the Book of Peace, and must travel to her realm at the end of the world to retrieve it and save the life of his childhood friend Prince Proteus.",57.55099868774414,/mtkPe9AMiXloYPCsldSbxKuXXWJ.jpg,2003-07-02,Sinbad: Legend of the Seven Seas,False,6.9670000076293945,1961
